EmployeeID;Age;AvgDailyHours;Department;Education;EducationField;Gender;HasFlexibleTimings;IsIndividualContributor;JobInvolvement;JobRole;JobSatisfaction;LeavesTaken;MaritalStatus;MicromanagedAtWork;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;RemoteWorkSatistfaction;SelfMotivationLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;WorkLoadLevel;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager
200001;31.0;9.77;Research & Development;5;Human Resources;Female;No;Yes;2;Research Director;3;4.0;Single;5.0;166667;1;11;3;3;Very High;1;6.0;6;3;High;1.0;1.0;1.0
200002;52.0;7.98;Human Resources;3;Marketing;Female;No;No;3;Research Director;2;7.0;Married;1.0;216667;1;23;3;1;Medium;2;10.0;4;3;Low;1.0;1.0;1.0
200003;20.0;6.2;Sales;4;Technical Degree;Male;Yes;No;4;Healthcare Representative;4;6.0;Married;5.0;25000;1;14;4;1;Low;3;1.0;0;3;Low;0.0;0.0;0.0
200004;41.0;10.4;Human Resources;4;Life Sciences;Male;No;Yes;2;Manager;4;6.0;Single;1.0;191667;1;20;2;4;High;1;12.0;6;4;Low;7.0;5.0;4.0
200005;20.0;7.67;Sales;5;Medical;Female;No;No;4;Sales Executive;2;9.0;Divorced;2.0;25000;1;13;3;1;Medium;2;0.0;3;4;Low;0.0;0.0;0.0
200006;30.0;5.99;Sales;5;Medical;Male;No;No;4;Laboratory Technician;1;7.0;Married;2.0;66667;1;12;3;1;Medium;4;4.0;3;2;Low;1.0;1.0;1.0
200007;30.0;10.31;Research & Development;4;Human Resources;Male;Yes;Yes;3;Research Director;2;11.0;Divorced;5.0;108333;3;11;2;2;Very High;4;7.0;2;3;Medium;7.0;2.0;6.0
200008;41.0;6.45;Human Resources;4;Life Sciences;Female;No;No;1;Research Director;4;21.0;Single;4.0;266667;2;11;1;3;Low;1;16.0;3;3;;11.0;3.0;1.0
200009;39.0;6.81;Sales;1;Medical;Male;Yes;No;2;Manager;4;3.0;Divorced;2.0;216667;1;25;4;4;High;1;16.0;1;1;Low;0.0;0.0;0.0
200010;31.0;7.32;Sales;3;Other;Female;Yes;No;2;Manager;4;10.0;Single;1.0;141667;1;15;4;2;Low;3;10.0;3;2;Medium;3.0;3.0;3.0
200011;38.0;6.28;Research & Development;4;Life Sciences;Female;Yes;Yes;4;Sales Representative;2;16.0;Divorced;1.0;150000;4;13;1;2;Low;1;9.0;5;4;High;4.0;4.0;3.0
200012;24.0;6.87;Sales;3;Marketing;Male;No;No;1;Laboratory Technician;4;10.0;Divorced;3.0;50000;1;8;4;1;Very High;4;2.0;6;4;Medium;2.0;2.0;2.0
200013;;7.7;Human Resources;3;Human Resources;Female;No;No;1;Research Scientist;4;10.0;Married;5.0;133333;2;22;3;3;High;3;7.0;2;3;Medium;0.0;0.0;0.0
200014;53.0;7.35;Research & Development;4;Technical Degree;Male;Yes;Yes;4;Research Director;2;20.0;Divorced;5.0;408333;6;18;1;3;Low;3;25.0;6;3;High;20.0;0.0;0.0
200015;53.0;7.57;Research & Development;2;Medical;Female;No;Yes;1;Research Scientist;4;11.0;Married;4.0;458333;6;11;1;1;Low;3;24.0;1;3;Medium;4.0;4.0;1.0
200016;39.0;8.39;Sales;1;Other;Male;Yes;Yes;3;Manager;4;9.0;Married;2.0;183333;1;19;3;3;High;4;11.0;6;3;Low;7.0;3.0;7.0
200017;56.0;7.31;Sales;1;Marketing;Male;No;No;4;Research Scientist;3;5.0;Single;4.0;6750000;2;17;2;3;Very Low;1;33.0;4;3;Low;0.0;0.0;0.0
200018;26.0;7.52;Research & Development;1;Medical;Male;Yes;Yes;3;Laboratory Technician;2;10.0;Divorced;4.0;83333;1;12;4;1;Low;2;3.0;2;1;Low;1.0;1.0;1.0
200019;29.0;7.65;Human Resources;3;Human Resources;Female;No;No;2;Research Director;2;6.0;Divorced;5.0;108333;3;17;2;4;Very High;4;6.0;1;4;Low;0.0;0.0;0.0
200020;43.0;7.49;Research & Development;1;Life Sciences;Female;No;Yes;3;Research Scientist;2;2.0;Divorced;3.0;16667;1;20;3;1;Very High;1;1.0;0;1;High;1.0;1.0;1.0
200021;22.0;10.55;Research & Development;4;Human Resources;Female;Yes;Yes;1;Human Resources;2;10.0;Divorced;4.0;16667;1;7;3;4;Low;1;1.0;6;1;High;1.0;1.0;1.0
200022;24.0;6.59;Research & Development;5;Technical Degree;Female;Yes;Yes;4;Healthcare Representative;2;6.0;Married;3.0;50000;1;22;4;3;Low;1;2.0;5;3;Medium;1.0;1.0;1.0
200023;57.0;10.7;Human Resources;4;Medical;Female;No;No;4;Sales Representative;3;18.0;Married;5.0;225000;1;12;2;3;Low;3;10.0;1;1;High;3.0;3.0;3.0
200024;38.0;11.0;Sales;3;Human Resources;Male;Yes;Yes;1;Sales Representative;4;23.0;Married;1.0;291667;1;9;2;1;Very High;1;15.0;1;2;High;10.0;3.0;6.0
200025;47.0;7.89;Human Resources;5;Marketing;Male;No;Yes;2;Human Resources;3;5.0;Single;1.0;33333;1;12;3;1;Low;4;2.0;0;3;High;1.0;1.0;1.0
200026;22.0;8.48;Research & Development;5;Marketing;Male;Yes;No;4;Healthcare Representative;1;6.0;Divorced;4.0;33333;1;18;2;4;Very High;4;0.0;5;4;High;0.0;0.0;0.0
200027;40.0;6.08;Research & Development;2;Technical Degree;Male;Yes;Yes;1;Human Resources;4;14.0;Single;1.0;183333;2;15;3;3;Very Low;1;11.0;2;1;Medium;10.0;0.0;1.0
200028;46.0;6.02;Research & Development;2;Human Resources;Male;Yes;;3;Manager;1;7.0;Single;2.0;225000;2;9;3;3;Very High;1;;2;2;Medium;6.0;2.0;2.0
200029;39.0;6.3;Human Resources;2;Life Sciences;Female;No;Yes;3;Laboratory Technician;3;9.0;Married;3.0;50000;1;13;4;4;Very Low;4;2.0;3;3;High;2.0;2.0;2.0
200030;26.0;6.8;Sales;3;Human Resources;Female;No;Yes;1;Research Director;2;12.0;Married;4.0;58333;1;19;2;2;Very High;1;2.0;0;4;Medium;2.0;2.0;2.0
200031;49.0;9.3;Human Resources;3;Other;;No;No;1;Sales Executive;1;4.0;Married;3.0;33333;1;24;1;4;Very High;2;2.0;6;1;High;0.0;0.0;0.0
200032;53.0;7.58;Human Resources;5;Medical;Male;No;No;3;Manager;3;12.0;Single;1.0;483333;6;11;1;1;Low;2;26.0;4;1;Low;9.0;2.0;0.0
200033;28.0;7.59;Sales;4;Technical Degree;Female;No;No;4;Manager;1;14.0;Single;3.0;66667;1;15;3;4;Very High;4;3.0;3;3;Medium;3.0;3.0;2.0
200034;41.0;6.97;Sales;4;Marketing;Male;No;No;3;Sales Representative;2;7.0;Divorced;3.0;225000;1;23;4;3;Very High;4;15.0;2;4;;1.0;1.0;1.0
200035;31.0;8.33;Human Resources;5;Technical Degree;Female;No;Yes;2;;4;2.0;;5.0;33333;1;9;1;2;Medium;1;0.0;0;3;High;0.0;0.0;0.0
200036;56.0;6.28;Human Resources;3;Marketing;Male;No;No;3;Manufacturing Director;3;13.0;Divorced;1.0;75000;2;10;4;2;Very High;4;4.0;0;3;Low;4.0;4.0;4.0
200037;31.0;9.01;Sales;2;Medical;Male;Yes;No;1;Research Scientist;1;6.0;Single;3.0;25000;1;9;1;2;Low;3;1.0;6;1;Low;1.0;1.0;1.0
200038;58.0;7.17;Research & Development;5;Technical Degree;Male;No;Yes;3;Human Resources;3;24.0;Married;2.0;475000;1;9;2;3;Low;1;28.0;5;3;Low;12.0;1.0;9.0
200039;28.0;7.97;Sales;1;Technical Degree;Male;No;Yes;3;Human Resources;2;6.0;Single;3.0;25000;1;22;2;3;Very High;3;1.0;2;4;Medium;1.0;1.0;1.0
200040;24.0;7.59;Sales;1;Other;Female;Yes;No;1;Manager;3;5.0;Married;3.0;8333;1;15;2;3;Medium;4;0.0;0;3;;0.0;0.0;0.0
200041;47.0;9.48;Sales;3;Human Resources;Female;Yes;Yes;4;Sales Representative;3;20.0;Single;3.0;183333;4;18;2;3;Very High;2;8.0;1;3;Medium;3.0;3.0;2.0
