EmployeeID;Target;Age;AvgDailyHours;Department;Education;EducationField;Gender;HasFlexibleTimings;IsIndividualContributor;JobInvolvement;JobRole;JobSatisfaction;LeavesTaken;MaritalStatus;MicromanagedAtWork;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;RemoteWorkSatistfaction;SelfMotivationLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;WorkLoadLevel;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager
100001;0;36.0;6.45;Sales;5;Technical Degree;Male;No;Yes;1;Manufacturing Director;2;7.0;Divorced;3.0;175000;4;21;1;1;Medium;3;8.0;2;2;Low;8.0;1.0;8.0
100002;0;24.0;8.48;Sales;5;Technical Degree;Male;No;Yes;1;Sales Representative;4;9.0;Married;4.0;16667;1;11;3;1;Very High;2;1.0;5;2;High;0.0;0.0;0.0
100003;0;45.0;6.93;Research & Development;2;Technical Degree;Female;No;Yes;3;Manufacturing Director;4;24.0;Married;4.0;350000;4;19;4;4;High;1;17.0;6;4;Low;17.0;4.0;10.0
100004;1;29.0;7.1;Sales;4;Medical;Male;No;No;4;Manufacturing Director;1;7.0;Single;2.0;25000;1;25;3;4;Medium;2;2.0;0;2;;1.0;1.0;1.0
100005;0;30.0;7.3;Human Resources;3;Life Sciences;Female;No;Yes;2;Healthcare Representative;4;9.0;Single;5.0;166667;2;20;4;1;Very High;4;9.0;6;1;Medium;3.0;3.0;0.0
100006;0;31.0;10.78;Sales;2;Medical;Male;Yes;Yes;4;Research Director;4;11.0;Divorced;3.0;116667;3;11;2;2;High;1;9.0;0;4;High;2.0;2.0;2.0
100007;0;22.0;8.31;Research & Development;1;Marketing;Male;Yes;Yes;4;Research Director;3;4.0;Single;3.0;25000;1;25;1;2;Very High;1;1.0;1;3;Low;1.0;1.0;1.0
100008;0;29.0;9.32;Sales;4;Human Resources;Male;No;No;3;Research Director;1;18.0;Single;3.0;108333;1;12;2;3;High;3;5.0;5;3;Medium;5.0;5.0;4.0
100009;0;47.0;7.4;Research & Development;4;Human Resources;Female;No;No;1;Manager;4;16.0;Married;2.0;233333;3;14;2;4;Low;2;16.0;2;2;High;6.0;3.0;6.0
100010;0;43.0;6.08;Sales;2;Human Resources;Male;Yes;Yes;1;Human Resources;4;13.0;Single;4.0;291667;1;12;2;4;Very Low;3;16.0;4;1;Medium;7.0;0.0;1.0
